"unique_key","created_date","closed_date","descriptor","incident_address","street_name","cross_street_1","cross_street_2","borough","latitude","longitude"
"58845251","2023-09-18T14:11:00.000","2023-09-19T09:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.59148256338065","-73.98132013251951"
"58846524","2023-09-18T14:11:00.000","2023-09-25T11:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","133-17 LIBERTY AVENUE","LIBERTY AVENUE","133 ST","134 ST","QUEENS","40.69134120313","-73.81303681688864"
"58850351","2023-09-18T13:59:00.000","2023-09-19T12:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.71098108377019","-73.75765668878427"
"58846519","2023-09-18T13:26:00.000","2023-09-18T13:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","2996 HOLLAND AVENUE","HOLLAND AVENUE","WILLIAMSBRIDGE RD","ADEE AVE","BRONX","40.86955314385188","-73.86525922168619"
"58849077","2023-09-18T13:26:00.000","2023-09-19T09:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1071 BRIGHTON BEACH AVENUE","BRIGHTON BEACH AVENUE","BRIGHTON 12 ST","BRIGHTON 13 ST","BROOKLYN","40.57818864125591","-73.9575106786958"
"58852858","2023-09-18T13:14:00.000","2023-09-21T13:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","218-04 STEWART ROAD","STEWART ROAD","UNION TPKE","219 ST","QUEENS","40.734497678258364","-73.7522236091217"
"58854111","2023-09-18T13:11:00.000","2023-09-19T13:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","2320 AVENUE M","AVENUE M","E 23 ST","E 24 ST","BROOKLYN","40.618897265065556","-73.95187634189885"
"58846525","2023-09-18T13:05:00.000","2023-09-26T10:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","141-18 56 AVENUE","56 AVENUE","141 ST","DISTRICT BNDY","QUEENS","40.74782366644772","-73.82391838288213"
"58845247","2023-09-18T12:47:00.000","2023-09-18T12:55:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.62717051499572","-73.98213151779058"
"58854112","2023-09-18T12:38:00.000","2023-09-22T13:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","8902 AVENUE B","AVENUE B","E 89 ST","REMSEN AVE","BROOKLYN","40.649102956268926","-73.91695270267574"
"58852859","2023-09-18T12:26:00.000","2023-09-22T10:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"STATEN ISLAND","40.64552202452313","-74.07767000848172"
