,desc_1,desc_2,desc_3,desc_4,desc_5
S1501_C06_055E,Estimate,Percent Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Less than high school graduate,
S1501_C06_056E,Estimate,Percent Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,High school graduate (includes equivalency),
S1501_C06_057E,Estimate,Percent Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Some college or associate's degree,
S1501_C06_058E,Estimate,Percent Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Bachelor's degree or higher,
S1501_C06_059E,Estimate,Percent Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,
S1501_C06_060E,Estimate,Percent Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Less than high school graduate
S1501_C06_061E,Estimate,Percent Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,High school graduate (includes equivalency)
S1501_C06_062E,Estimate,Percent Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Some college or associate's degree
S1501_C06_063E,Estimate,Percent Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Bachelor's degree
S1501_C06_064E,Estimate,Percent Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Graduate or professional degree
