                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[215]                                   0.001  0.003   0.000    0.005      0.000    0.000    2324.0    2803.0   1.00
p_y[216]                                   0.001  0.002   0.000    0.004      0.000    0.000    1484.0    3256.0   1.00
p_y[217]                                   0.001  0.002   0.000    0.003      0.000    0.000    2447.0    4283.0   1.00
p_y[218]                                   0.001  0.001   0.000    0.002      0.000    0.000    1986.0    4224.0   1.00
p_y[219]                                   0.001  0.001   0.000    0.002      0.000    0.000    1867.0    3501.0   1.00
p_y[220]                                   0.000  0.002   0.000    0.002      0.000    0.000    2173.0    4202.0   1.00
p_y[221]                                   0.005  0.004   0.000    0.012      0.000    0.000    3997.0    5201.0   1.00
p_y[222]                                   0.001  0.003   0.000    0.004      0.000    0.000    1646.0    4045.0   1.00
p_y[223]                                   0.002  0.007   0.000    0.008      0.000    0.000    1950.0    3516.0   1.00
p_y[224]                                   0.001  0.005   0.000    0.005      0.000    0.000    1411.0    3174.0   1.00
p_y[225]                                   0.002  0.004   0.000    0.006      0.000    0.000    1267.0    2432.0   1.00
p_y[226]                                   0.001  0.002   0.000    0.004      0.000    0.000    2540.0    5050.0   1.00
p_y[227]                                   0.013  0.025   0.000    0.051      0.000    0.000    2785.0    5290.0   1.00
p_y[228]                                   0.005  0.011   0.000    0.022      0.000    0.000    1142.0    2313.0   1.00
p_y[229]                                   0.001  0.003   0.000    0.005      0.000    0.000    1368.0    3316.0   1.00
p_y[230]                                   0.003  0.008   0.000    0.012      0.000    0.000    1424.0    3769.0   1.00
p_y[231]                                   0.002  0.004   0.000    0.007      0.000    0.000    2347.0    4202.0   1.00
p_y[232]                                   0.001  0.002   0.000    0.003      0.000    0.000    1396.0    2806.0   1.00
p_y[233]                                   0.002  0.004   0.000    0.007      0.000    0.000    3259.0    4417.0   1.00
p_y[234]                                   0.001  0.002   0.000    0.002      0.000    0.000    1934.0    2515.0   1.00
p_y[235]                                   0.003  0.006   0.000    0.009      0.000    0.000    3345.0    4527.0   1.00
p_y[236]                                   0.001  0.002   0.000    0.002      0.000    0.000    2145.0    2722.0   1.00
p_y[237]                                   0.001  0.002   0.000    0.002      0.000    0.000    2084.0    4106.0   1.00
p_y[238]                                   0.001  0.002   0.000    0.003      0.000    0.000    1801.0    3166.0   1.00
p_y[239]                                   0.001  0.002   0.000    0.003      0.000    0.000    2035.0    4091.0   1.00
p_y[240]                                   0.002  0.003   0.000    0.006      0.000    0.000    2655.0    4191.0   1.00
p_y[241]                                   0.000  0.001   0.000    0.002      0.000    0.000    2100.0    3031.0   1.00
p_y[242]                                   0.001  0.002   0.000    0.002      0.000    0.000    2415.0    4078.0   1.00
p_y[243]                                   0.001  0.003   0.000    0.005      0.000    0.000    2387.0    4644.0   1.00
p_y[244]                                   0.001  0.002   0.000    0.004      0.000    0.000    2631.0    4770.0   1.00
p_y[245]                                   0.001  0.002   0.000    0.003      0.000    0.000    2034.0    3770.0   1.00
