BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate_ct,p_y,p_y_CI_lower,p_y_CI_upper,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Brooklyn,3039300,Bushwick (West),BK04 Bushwick (CD 4 Equivalent),4304,0.0,0.0004072003664538,8.821187817873983e-06,0.0024253430316181,0.0,0.1361305269882578,0.0040583281576931,0.6735378296981351,4198,1199,539,1767,533,555,127,1531,1457,1468,98672,853,1131,425,195,47.0,71.0,57.92518837459634,2043909.5205638572,0.0,11675.329057786035,0.0057122533753671935,17247.583626864754,0.008438525998013176,36047039300,0,1,0,0,0
Queens,4003600,Ozone Park (North),QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),4409,0.0,0.0014416804462721,3.3635889607200675e-05,0.0080916901873655,0.0,0.2369105035784709,0.0090407275590731,0.8884902785615244,4004,382,140,2058,1273,1022,622,1136,1000,1021,86582,638,377,214,235,15.0,36.0,25.300660679260865,1937265.3694351634,0.0,111698.9567916712,0.05765805684341458,178316.83395228552,0.09204564163776709,36081003600,0,0,0,0,0
Brooklyn,3032700,Prospect Lefferts Gardens-Wingate,BK09 Crown Heights (South) (CD 9 Approximation),4309,0.0,0.0015832080604614,6.111257606352337e-05,0.0075612980676472,0.0,0.4286559219969925,0.0336450685250238,0.9857417068936988,2687,652,1476,444,66,324,539,1352,1158,1196,68611,437,745,403,98,57.0,84.0,70.14929607060307,1904055.1021570396,0.0,0.0,0.0,0.0,0.0,36047032700,0,0,0,0,0
Bronx,2003500,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),4221,0.0,0.0029127032155617,4.694780388638268e-05,0.0170860782541196,0.0,0.273181361989711,0.0080426948676221,0.9483983422729952,3899,112,705,2980,0,1218,283,1478,1314,1280,34185,521,273,105,322,7.0,57.0,31.8734841035726,1525331.3140728162,0.0,5483.2906452166335,0.0035948194301312773,8098.367460418726,0.005309251429969743,36005003500,0,0,0,0,0
Bronx,2007300,Melrose,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),4221,0.0,0.0011585102743324,1.6948819930510427e-05,0.007383710580402,0.0,0.116761871079491,0.002302404435998,0.6350191082033279,4444,15,1338,2844,78,1316,430,1535,1153,1365,28166,1164,180,19,464,21.0,64.0,37.50991708126036,1507611.98010877,0.0,0.0,0.0,0.0,0.0,36005007300,0,0,0,0,0
Staten Island,5007500,West New Brighton-Silver Lake-Grymes Hill,SI01 North Shore (CD 1 Equivalent),4501,0.0,0.0043383874219242,1.4889420070741667e-05,0.0320960549985654,0.0,0.1644994209061234,0.000997101135561,0.8876012280961425,4032,1468,776,1133,174,957,644,1095,1015,1004,108836,745,593,464,39,0.0,287.0,199.29607162929517,5159236.486849373,0.0,5593.76957620268,0.0010842243014951745,13526.74721669148,0.0026218505880027903,36085007500,0,0,0,0,0
Staten Island,5007700,St. George-New Brighton,SI01 North Shore (CD 1 Equivalent),4501,0.0,0.0004280896848241,4.3333153443350763e-07,0.003199834500559,0.0,0.0029099498445828,3.0333167974128105e-06,0.0221849667700842,1969,174,919,746,121,597,221,536,420,444,89767,426,123,146,29,109.0,234.0,166.09733388176346,2674748.657411396,0.0,27107.047487142478,0.010134427925417298,48529.34057260494,0.018143514321667633,36085007700,0,0,0,0,0
Queens,4001902,Long Island City-Hunters Point,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),4402,0.0008628127696289,0.0021949629993073,7.280819894854133e-05,0.0102073701031725,0.0008628127696289,0.6800101837470852,0.08092520640737,0.9999931490404111,5059,1909,66,352,2469,451,35,2868,2723,2853,157877,70,2158,1596,97,0.0,29.0,15.514658150978956,1909110.7268836007,0.0,39824.529685868896,0.02086025138566885,76487.74610555731,0.04006459396433992,36081001902,0,0,0,0,0
Queens,4047500,Elmhurst,QN04 Elmhurst-Corona (CD 4 Approximation),4404,0.0,0.0005846294961538,1.2376751842030324e-05,0.0032839387034581,0.0,0.2061804036864468,0.0067226725441076,0.833488641151769,5262,383,67,1981,2817,920,672,1720,1636,1683,79631,1140,1077,389,552,17.0,54.0,28.23976086669309,3028837.175508195,0.0,53442.46943903882,0.017644550149867974,73709.94575706407,0.024336054230018687,36081047500,1,0,0,0,0
Staten Island,5014100,Port Richmond,SI01 North Shore (CD 1 Equivalent),4501,0.0,0.0003386265690965,1.4060755973314136e-06,0.0024485321205728,0.0,0.0302642154965359,0.0001448154015753,0.2231500577282815,2640,921,449,815,293,614,447,1064,848,896,64451,404,336,177,57,14.0,79.0,46.10413609272515,3339236.6018579,0.0,31241.18255150336,0.009355785850610658,45529.970230856874,0.013634844025584979,36085014100,1,0,0,0,0
Staten Island,5012500,West New Brighton-Silver Lake-Grymes Hill,SI01 North Shore (CD 1 Equivalent),4501,0.0,0.0003121508196478,4.33070683034684e-07,0.0022949011045799,0.0,0.0262067617684882,4.590444869592425e-05,0.2161511497715293,3100,1283,519,1007,189,624,320,1080,938,935,120833,542,469,233,37,35.0,177.0,96.3900424156736,4951705.48242182,0.0,0.0,0.0,0.0,0.0,36085012500,0,0,1,0,0
Staten Island,5014700,Westerleigh-Castleton Corners,SI01 North Shore (CD 1 Equivalent),4501,0.0,0.0002131413512398,1.2747230827015215e-06,0.0015107120851314,0.0,0.0450628778267856,0.0003250017687501,0.319905051708359,3447,2900,148,258,75,426,1174,1553,1349,1169,111004,646,796,381,34,56.0,281.0,167.9323637374861,17978300.728177767,0.0,0.0,0.0,0.0,0.0,36085014700,0,0,1,0,0
