                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[168]                                   0.003  0.013   0.000    0.012      0.000    0.001    5517.0    8548.0   1.00
p_y[169]                                   0.003  0.010   0.000    0.012      0.000    0.000    5675.0    8421.0   1.00
p_y[170]                                   0.002  0.004   0.000    0.007      0.000    0.000    5879.0    9002.0   1.00
p_y[171]                                   0.002  0.004   0.000    0.007      0.000    0.000    6745.0    9331.0   1.00
p_y[172]                                   0.070  0.048   0.002    0.154      0.001    0.001    6972.0    8032.0   1.00
p_y[173]                                   0.002  0.004   0.000    0.008      0.000    0.000    5448.0    5101.0   1.00
p_y[174]                                   0.003  0.006   0.000    0.013      0.000    0.000    6516.0    7880.0   1.00
p_y[175]                                   0.003  0.007   0.000    0.011      0.000    0.000    5165.0    6605.0   1.00
p_y[176]                                   0.002  0.004   0.000    0.007      0.000    0.000    3985.0    5534.0   1.00
p_y[177]                                   0.002  0.006   0.000    0.006      0.000    0.000    4783.0    8147.0   1.00
p_y[178]                                   0.004  0.007   0.000    0.014      0.000    0.000    6414.0    8048.0   1.00
p_y[179]                                   0.002  0.003   0.000    0.006      0.000    0.000    5433.0    8659.0   1.00
p_y[180]                                   0.002  0.007   0.000    0.008      0.000    0.000    5316.0    6658.0   1.00
p_y[181]                                   0.002  0.003   0.000    0.006      0.000    0.000    4842.0    7845.0   1.00
p_y[182]                                   0.002  0.007   0.000    0.008      0.000    0.000    4554.0    7874.0   1.00
p_y[183]                                   0.001  0.003   0.000    0.005      0.000    0.000    4788.0    9080.0   1.00
p_y[184]                                   0.001  0.002   0.000    0.004      0.000    0.000    5575.0    9637.0   1.00
p_y[185]                                   0.051  0.057   0.000    0.152      0.001    0.001    5857.0    3999.0   1.00
p_y[186]                                   0.001  0.002   0.000    0.004      0.000    0.000    4655.0    8386.0   1.00
p_y[187]                                   0.002  0.006   0.000    0.008      0.000    0.000    5360.0    8609.0   1.00
p_y[188]                                   0.002  0.005   0.000    0.007      0.000    0.000    4683.0    5540.0   1.00
p_y[189]                                   0.001  0.004   0.000    0.005      0.000    0.000    4568.0    7522.0   1.00
p_y[190]                                   0.001  0.003   0.000    0.005      0.000    0.000    4209.0    8924.0   1.00
p_y[191]                                   0.002  0.007   0.000    0.008      0.000    0.000    4405.0    5814.0   1.00
p_y[192]                                   0.001  0.003   0.000    0.005      0.000    0.000    4716.0    7763.0   1.00
p_y[193]                                   0.003  0.008   0.000    0.012      0.000    0.000    4602.0    5897.0   1.00
p_y[194]                                   0.002  0.004   0.000    0.005      0.000    0.000    5043.0    7448.0   1.00
p_y[195]                                   0.002  0.004   0.000    0.006      0.000    0.000    4922.0    8136.0   1.00
p_y[196]                                   0.002  0.005   0.000    0.008      0.000    0.000    4028.0    5801.0   1.00
p_y[197]                                   0.002  0.003   0.000    0.005      0.000    0.000    5087.0    7376.0   1.00
p_y[198]                                   0.002  0.003   0.000    0.006      0.000    0.000    4140.0    4684.0   1.00
p_y[199]                                   0.001  0.003   0.000    0.005      0.000    0.000    5378.0    8676.0   1.00
p_y[200]                                   0.002  0.005   0.000    0.007      0.000    0.000    4417.0    5482.0   1.00
p_y[201]                                   0.002  0.004   0.000    0.006      0.000    0.000    5255.0    7380.0   1.00
p_y[202]                                   0.002  0.006   0.000    0.007      0.000    0.001    4784.0    7065.0   1.00
p_y[203]                                   0.002  0.005   0.000    0.007      0.000    0.000    5756.0    7731.0   1.00
p_y[204]                                   0.003  0.008   0.000    0.011      0.000    0.001    4326.0    6980.0   1.00
p_y[205]                                   0.003  0.005   0.000    0.009      0.000    0.000    5377.0    8297.0   1.00
p_y[206]                                   0.003  0.008   0.000    0.012      0.000    0.000    4733.0    7576.0   1.00
p_y[207]                                   0.015  0.028   0.000    0.057      0.000    0.001    4295.0    6988.0   1.00
p_y[208]                                   0.003  0.008   0.000    0.011      0.000    0.001    5015.0    7639.0   1.00
p_y[209]                                   0.002  0.005   0.000    0.009      0.000    0.000    5600.0    8819.0   1.00
p_y[210]                                   0.002  0.005   0.000    0.008      0.000    0.000    5251.0    8290.0   1.00
p_y[211]                                   0.002  0.004   0.000    0.007      0.000    0.000    6541.0    6582.0   1.00
p_y[212]                                   0.002  0.004   0.000    0.007      0.000    0.000    4229.0    8006.0   1.00
p_y[213]                                   0.004  0.009   0.000    0.014      0.000    0.000    5936.0    6411.0   1.00
p_y[214]                                   0.003  0.006   0.000    0.013      0.000    0.000    4806.0    7594.0   1.00
p_y[215]                                   0.002  0.005   0.000    0.008      0.000    0.000    5383.0    7123.0   1.00
p_y[216]                                   0.002  0.005   0.000    0.008      0.000    0.000    3285.0    5847.0   1.00
p_y[217]                                   0.002  0.004   0.000    0.007      0.000    0.000    5792.0    8693.0   1.00
p_y[218]                                   0.002  0.004   0.000    0.006      0.000    0.000    4392.0    7245.0   1.00
p_y[219]                                   0.002  0.003   0.000    0.006      0.000    0.000    4626.0    6928.0   1.00
p_y[220]                                   0.003  0.007   0.000    0.011      0.000    0.000    5379.0    8035.0   1.00
p_y[221]                                   0.005  0.005   0.000    0.014      0.000    0.000    6413.0    5278.0   1.00
p_y[222]                                   0.002  0.005   0.000    0.008      0.000    0.000    4899.0    8627.0   1.00
p_y[223]                                   0.005  0.015   0.000    0.020      0.000    0.001    5061.0    7793.0   1.00
p_y[224]                                   0.005  0.011   0.000    0.019      0.000    0.000    4912.0    7386.0   1.00
p_y[225]                                   0.004  0.009   0.000    0.017      0.000    0.000    4542.0    6218.0   1.00
p_y[226]                                   0.003  0.005   0.000    0.011      0.000    0.000    6173.0    7796.0   1.00
p_y[227]                                   0.031  0.043   0.000    0.106      0.000    0.001    6950.0    7197.0   1.00
p_y[228]                                   0.015  0.021   0.000    0.051      0.000    0.000    3613.0    4485.0   1.00
p_y[229]                                   0.002  0.004   0.000    0.007      0.000    0.000    3557.0    4503.0   1.00
p_y[230]                                   0.008  0.014   0.000    0.029      0.000    0.000    3694.0    4785.0   1.00
p_y[231]                                   0.004  0.007   0.000    0.015      0.000    0.000    5874.0    7888.0   1.00
p_y[232]                                   0.002  0.004   0.000    0.007      0.000    0.000    4216.0    5430.0   1.00
p_y[233]                                   0.005  0.009   0.000    0.017      0.000    0.000    5984.0    7573.0   1.00
p_y[234]                                   0.001  0.004   0.000    0.005      0.000    0.000    4324.0    7288.0   1.00
p_y[235]                                   0.009  0.017   0.000    0.032      0.000    0.001    6929.0    8051.0   1.00
p_y[236]                                   0.001  0.004   0.000    0.005      0.000    0.000    4401.0    7616.0   1.00
p_y[237]                                   0.001  0.003   0.000    0.005      0.000    0.000    4287.0    7106.0   1.00
p_y[238]                                   0.001  0.003   0.000    0.004      0.000    0.000    3766.0    7287.0   1.00
p_y[239]                                   0.002  0.004   0.000    0.006      0.000    0.000    4379.0    8913.0   1.00
p_y[240]                                   0.003  0.006   0.000    0.011      0.000    0.000    5479.0    8303.0   1.00
p_y[241]                                   0.002  0.004   0.000    0.006      0.000    0.000    4413.0    7190.0   1.00
p_y[242]                                   0.003  0.007   0.000    0.010      0.000    0.000    4722.0    6645.0   1.00
p_y[243]                                   0.003  0.006   0.000    0.012      0.000    0.000    5688.0    8104.0   1.00
p_y[244]                                   0.002  0.003   0.000    0.007      0.000    0.000    5860.0    6580.0   1.00
p_y[245]                                   0.002  0.007   0.000    0.008      0.000    0.000    5094.0    8794.0   1.00
p_y[246]                                   0.003  0.006   0.000    0.010      0.000    0.000    5714.0    6664.0   1.00
p_y[247]                                   0.002  0.004   0.000    0.006      0.000    0.000    4539.0    7724.0   1.00
p_y[248]                                   0.003  0.006   0.000    0.009      0.000    0.000    5278.0    7364.0   1.00
p_y[249]                                   0.002  0.005   0.000    0.007      0.000    0.000    5200.0    8033.0   1.00
p_y[250]                                   0.003  0.008   0.000    0.012      0.000    0.000    5613.0    9309.0   1.00
p_y[251]                                   0.001  0.003   0.000    0.005      0.000    0.000    4131.0    6743.0   1.00
p_y[252]                                   0.024  0.036   0.000    0.086      0.000    0.001    6774.0    7352.0   1.00
p_y[253]                                   0.005  0.008   0.000    0.017      0.000    0.000    6210.0    8446.0   1.00
p_y[254]                                   0.003  0.008   0.000    0.011      0.000    0.001    6078.0    7867.0   1.00
p_y[255]                                   0.003  0.007   0.000    0.012      0.000    0.000    5495.0    8443.0   1.00
p_y[256]                                   0.003  0.004   0.000    0.010      0.000    0.000    5613.0    7629.0   1.00
p_y[257]                                   0.008  0.011   0.000    0.026      0.000    0.000    6906.0    6670.0   1.00
p_y[258]                                   0.005  0.007   0.000    0.016      0.000    0.000    7340.0    7752.0   1.00
p_y[259]                                   0.003  0.007   0.000    0.012      0.000    0.000    6392.0    7115.0   1.00
p_y[260]                                   0.010  0.017   0.000    0.037      0.000    0.000    6809.0    8176.0   1.00
p_y[261]                                   0.003  0.006   0.000    0.009      0.000    0.000    5915.0    7948.0   1.00
p_y[262]                                   0.003  0.003   0.000    0.008      0.000    0.000    5967.0    4659.0   1.00
p_y[263]                                   0.006  0.010   0.000    0.023      0.000    0.000    6251.0    6950.0   1.00
p_y[264]                                   0.007  0.017   0.000    0.027      0.000    0.001    5310.0    5968.0   1.00
p_y[265]                                   0.004  0.006   0.000    0.012      0.000    0.000    7524.0    8648.0   1.00
p_y[266]                                   0.005  0.011   0.000    0.019      0.000    0.000    4947.0    7606.0   1.00
p_y[267]                                   0.018  0.037   0.000    0.073      0.000    0.001    4482.0    5549.0   1.00
p_y[268]                                   0.004  0.010   0.000    0.016      0.000    0.000    6863.0    9085.0   1.00
p_y[269]                                   0.003  0.006   0.000    0.011      0.000    0.000    5505.0    6204.0   1.00
p_y[270]                                   0.003  0.006   0.000    0.010      0.000    0.000    5264.0    7282.0   1.00
p_y[271]                                   0.003  0.008   0.000    0.012      0.000    0.000    5645.0    7075.0   1.00
p_y[272]                                   0.010  0.027   0.000    0.042      0.000    0.001    5284.0    8603.0   1.00
p_y[273]                                   0.002  0.004   0.000    0.008      0.000    0.000    5032.0    8229.0   1.00
p_y[274]                                   0.002  0.003   0.000    0.007      0.000    0.000    5266.0    6624.0   1.00
p_y[275]                                   0.002  0.004   0.000    0.008      0.000    0.000    5606.0    6436.0   1.00
